Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
3/12/2016,PHX,W 123-116,35,12,24,7,16,4,4,3,6,0,0,4,1,35,REGULAR SEASON STATS,W,123,116
3/14/2016,NO,W 125-107,31,10,16,4,9,3,4,5,5,0,2,1,1,27,REGULAR SEASON STATS,W,125,107
3/16/2016,NY,W 121-85,28,12,20,8,13,2,2,6,4,0,0,2,2,34,REGULAR SEASON STATS,W,121,85
3/18/2016,DAL,W 130-112,34,12,26,6,12,1,1,9,10,0,2,2,1,31,REGULAR SEASON STATS,W,130,112
3/19/2016,SA,L 79-87,38,4,18,1,12,5,5,6,6,0,2,0,2,14,REGULAR SEASON STATS,L,79,87
3/21/2016,MIN,W 109-104,35,6,17,2,9,5,6,7,11,1,3,4,5,19,REGULAR SEASON STATS,W,109,104
3/23/2016,LAC,W 114-98,37,12,23,4,10,5,6,4,5,0,3,3,1,33,REGULAR SEASON STATS,W,114,98
3/25/2016,DAL,W 128-120,35,9,18,5,12,10,11,8,8,0,4,0,3,33,REGULAR SEASON STATS,W,128,120
3/27/2016,PHI,W 117-105,33,7,16,2,9,4,5,3,8,0,4,0,4,20,REGULAR SEASON STATS,W,117,105
3/29/2016,WSH,W 102-94,35,9,20,6,8,2,2,7,7,0,5,3,5,26,REGULAR SEASON STATS,W,102,94
3/30/2016,UTAH,W 103-96,42,11,23,5,10,4,5,7,4,0,2,4,5,31,REGULAR SEASON STATS,W,103,96
4/1/2016,BOS,L 106-109,37,9,19,8,14,3,3,5,6,0,1,2,9,29,REGULAR SEASON STATS,L,106,109
4/3/2016,POR,W 136-111,35,13,21,9,13,4,4,6,7,1,2,2,4,39,REGULAR SEASON STATS,W,136,111
4/5/2016,MIN,L 117-124,43,7,25,4,14,3,3,6,15,0,3,4,3,21,REGULAR SEASON STATS,L,117,124
4/7/2016,SA,W 112-101,36,11,19,3,7,2,2,5,9,0,2,2,3,27,REGULAR SEASON STATS,W,112,101
4/9/2016,MEM,W 100-99,34,7,22,3,14,0,0,9,8,0,1,1,2,17,REGULAR SEASON STATS,W,100,99
4/10/2016,SA,W 92-86,35,13,22,4,9,7,7,5,5,0,2,4,4,37,REGULAR SEASON STATS,W,92,86
4/13/2016,MEM,W 125-104,30,15,24,10,19,6,6,4,6,0,2,2,2,46,REGULAR SEASON STATS,W,125,104
4/16/2016,HOU,W 104-78,20,8,13,5,7,3,3,7,2,0,3,0,4,24,Conference Quarterfinals,W,104,78
4/18/2016,HOU,W 115-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,115,106
4/21/2016,HOU,L 96-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,L,96,97
4/24/2016,HOU,W 121-94,19,2,9,1,7,1,1,0,5,0,1,0,5,6,Conference Quarterfinals,W,121,94
4/27/2016,HOU,W 114-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,114,81
5/1/2016,POR,W 118-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,W,118,106
5/3/2016,POR,W 110-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,W,110,99
5/7/2016,POR,L 108-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,L,108,120
5/9/2016,POR,W 132-125,37,16,32,5,16,3,3,9,8,0,0,2,4,40,Conference Semifinals,W,132,125
5/11/2016,POR,W 125-121,37,10,20,5,11,4,4,5,11,0,1,2,4,29,Conference Semifinals,W,125,121
5/16/2016,OKC,L 102-108,40,9,22,6,14,2,2,10,7,0,3,3,7,26,Conference Finals,L,102,108
5/18/2016,OKC,W 118-91,30,9,15,5,8,5,5,2,3,0,1,0,3,28,Conference Finals,W,118,91
5/22/2016,OKC,L 105-133,30,7,17,3,11,7,8,5,3,0,2,1,1,24,Conference Finals,L,105,133
5/24/2016,OKC,L 94-118,39,6,20,2,10,5,7,5,5,0,2,2,6,19,Conference Finals,L,94,118
5/26/2016,OKC,W 120-111,37,9,20,3,8,10,10,7,6,0,5,0,5,31,Conference Finals,W,120,111
5/28/2016,OKC,W 108-101,41,9,22,6,14,7,9,10,9,0,2,3,3,31,Conference Finals,W,108,101
5/30/2016,OKC,W 96-88,40,13,24,7,12,3,3,5,8,0,0,1,3,36,Conference Finals,W,96,88
6/2/2016,CLE,W 104-89,36,4,15,3,8,0,0,5,6,0,0,2,5,11,NBA Finals,W,104,89
6/5/2016,CLE,W 110-77,25,7,11,4,8,0,0,9,4,1,0,4,4,18,NBA Finals,W,110,77
6/8/2016,CLE,L 90-120,31,6,13,3,9,4,4,1,3,0,2,4,6,19,NBA Finals,L,90,120
6/10/2016,CLE,W 108-97,40,11,25,7,13,9,10,5,6,0,2,3,3,38,NBA Finals,W,108,97
6/13/2016,CLE,L 97-112,40,8,21,5,15,4,4,7,4,3,0,2,4,25,NBA Finals,L,97,112
6/16/2016,CLE,L 101-115,35,8,20,6,13,8,9,2,1,0,1,6,4,30,NBA Finals,L,101,115
6/19/2016,CLE,L 89-93,39,6,19,4,14,1,1,5,2,1,1,4,4,17,NBA Finals,L,89,93
10/1/2016,TOR,L 93-97,17,2,6,1,5,3,5,2,3,0,2,1,1,8,,L,93,97
10/4/2016,LAC,W 120-75,23,4,8,3,6,3,3,3,5,0,3,3,1,14,,W,120,75
10/6/2016,SAC,W 105-96,26,3,8,2,5,5,5,2,5,1,4,1,4,13,,W,105,96
10/14/2016,DEN,W 129-128,27,7,17,2,9,6,7,9,4,2,0,2,2,22,,W,129,128
10/15/2016,LAL,W 112-107,18,5,9,2,5,2,3,3,3,0,2,1,1,14,,W,112,107
10/19/2016,LAL,W 123-112,31,11,19,6,12,4,4,5,5,0,3,2,1,32,,W,123,112
10/21/2016,POR,W 107-96,28,12,21,8,13,3,3,4,2,0,0,2,2,35,,W,107,96
10/25/2016,SA,L 100-129,34,9,18,3,10,5,6,3,4,0,0,1,4,26,REGULAR SEASON STATS,L,100,129
10/28/2016,NO,W 122-114,34,8,19,4,10,3,4,1,8,0,1,3,4,23,REGULAR SEASON STATS,W,122,114
10/30/2016,PHX,W 106-100,34,9,17,5,8,5,5,1,3,0,0,5,1,28,REGULAR SEASON STATS,W,106,100
11/1/2016,POR,W 127-104,30,10,21,5,10,3,4,4,3,0,1,3,4,28,REGULAR SEASON STATS,W,127,104
11/3/2016,OKC,W 122-96,30,6,14,2,6,7,8,1,7,1,2,1,1,21,REGULAR SEASON STATS,W,122,96
11/4/2016,LAL,L 97-117,31,5,17,0,10,3,3,8,10,1,2,3,2,13,REGULAR SEASON STATS,L,97,117
11/7/2016,NO,W 116-106,36,16,26,13,17,1,2,5,5,0,2,2,4,46,REGULAR SEASON STATS,W,116,106
11/9/2016,DAL,W 116-95,31,8,12,4,8,4,4,3,6,0,1,1,5,24,REGULAR SEASON STATS,W,116,95
11/10/2016,DEN,W 125-101,30,10,17,7,13,6,6,5,6,0,1,1,4,33,REGULAR SEASON STATS,W,125,101
11/13/2016,PHX,W 133-120,37,9,17,5,9,7,7,6,6,0,2,2,3,30,REGULAR SEASON STATS,W,133,120
11/16/2016,TOR,W 127-121,37,10,19,3,9,12,13,3,7,0,1,3,3,35,REGULAR SEASON STATS,W,127,121
11/18/2016,BOS,W 104-88,36,7,20,2,10,0,0,3,8,1,4,4,2,16,REGULAR SEASON STATS,W,104,88
11/19/2016,MIL,W 124-121,35,7,21,1,11,5,5,5,5,0,1,4,3,20,REGULAR SEASON STATS,W,124,121
11/21/2016,IND,W 120-83,30,6,11,2,6,8,8,6,6,0,1,1,1,22,REGULAR SEASON STATS,W,120,83
11/23/2016,LAL,W 149-106,29,11,18,7,12,2,2,5,9,0,1,1,1,31,REGULAR SEASON STATS,W,149,106
11/25/2016,LAL,W 109-85,36,8,17,4,10,4,4,5,5,0,3,1,3,24,REGULAR SEASON STATS,W,109,85
11/26/2016,MIN,W 115-102,37,13,19,4,8,4,4,8,6,0,1,4,6,34,REGULAR SEASON STATS,W,115,102
11/28/2016,ATL,W 105-100,38,6,17,4,11,9,11,3,3,0,2,2,3,25,REGULAR SEASON STATS,W,105,100
12/1/2016,HOU,L 127-132,38,9,22,4,13,6,6,3,5,1,3,6,5,28,REGULAR SEASON STATS,L,127,132
12/3/2016,PHX,W 138-109,30,10,15,5,7,6,6,2,1,0,1,2,3,31,REGULAR SEASON STATS,W,138,109
12/5/2016,IND,W 142-106,29,4,10,2,7,3,4,4,11,1,2,4,0,13,REGULAR SEASON STATS,W,142,106
12/7/2016,LAC,W 115-98,33,7,16,0,8,5,5,4,6,0,7,3,3,19,REGULAR SEASON STATS,W,115,98
12/8/2016,UTAH,W 106-99,36,7,16,3,9,9,9,5,2,0,2,2,3,26,REGULAR SEASON STATS,W,106,99
12/10/2016,MEM,L 89-110,31,4,14,3,11,6,6,8,3,0,0,3,4,17,REGULAR SEASON STATS,L,89,110
12/11/2016,MIN,W 116-108,32,6,13,2,5,8,8,4,9,0,1,3,0,22,REGULAR SEASON STATS,W,116,108
12/13/2016,NO,W 113-109,34,11,23,5,9,3,4,4,7,0,1,2,2,30,REGULAR SEASON STATS,W,113,109
12/15/2016,NY,W 103-90,34,3,14,2,8,0,0,10,8,0,1,0,3,8,REGULAR SEASON STATS,W,103,90
12/17/2016,POR,W 135-90,27,6,11,5,8,2,2,3,6,0,0,3,3,19,REGULAR SEASON STATS,W,135,90
12/20/2016,UTAH,W 104-74,30,8,18,4,9,5,5,3,4,0,3,0,0,25,REGULAR SEASON STATS,W,104,74
12/22/2016,BKN,W 117-101,33,6,19,3,13,0,0,2,7,0,5,5,2,15,REGULAR SEASON STATS,W,117,101
12/23/2016,DET,W 119-113,35,7,16,5,10,6,6,3,8,0,2,1,5,25,REGULAR SEASON STATS,W,119,113
12/25/2016,CLE,L 108-109,37,4,11,2,7,5,6,3,3,0,3,4,3,15,REGULAR SEASON STATS,L,108,109
12/28/2016,TOR,W 121-111,36,9,18,3,6,7,7,7,7,0,0,3,2,28,REGULAR SEASON STATS,W,121,111
12/30/2016,DAL,W 108-99,30,5,12,3,6,1,1,4,5,0,1,2,1,14,REGULAR SEASON STATS,W,108,99
1/2/2017,DEN,W 127-119,35,8,18,3,9,3,3,3,5,0,0,2,3,22,REGULAR SEASON STATS,W,127,119
1/4/2017,POR,W 125-117,36,12,25,5,13,6,8,7,5,0,1,1,5,35,REGULAR SEASON STATS,W,125,117
1/6/2017,MEM,L 119-128,42,15,27,5,13,5,5,3,6,1,1,2,4,40,REGULAR SEASON STATS,L,119,128
1/8/2017,SAC,W 117-106,37,11,22,5,11,3,3,4,6,0,2,3,4,30,REGULAR SEASON STATS,W,117,106
1/10/2017,MIA,W 107-95,36,8,21,4,11,4,5,8,9,1,1,0,3,24,REGULAR SEASON STATS,W,107,95
1/12/2017,DET,W 127-107,30,9,17,3,9,3,3,2,7,0,5,0,8,24,REGULAR SEASON STATS,W,127,107
1/16/2017,CLE,W 126-91,31,7,20,5,12,1,2,2,11,0,4,2,3,20,REGULAR SEASON STATS,W,126,91
1/18/2017,OKC,W 121-100,34,9,19,2,6,4,4,4,8,0,3,0,3,24,REGULAR SEASON STATS,W,121,100
1/20/2017,HOU,W 125-108,33,8,18,5,11,3,5,1,7,0,1,1,1,24,REGULAR SEASON STATS,W,125,108
1/22/2017,ORL,W 118-98,30,8,15,7,13,4,4,4,6,0,0,2,3,27,REGULAR SEASON STATS,W,118,98
1/23/2017,MIA,L 102-105,37,7,19,3,9,4,5,9,8,1,0,2,4,21,REGULAR SEASON STATS,L,102,105
1/25/2017,CHA,W 113-103,36,11,23,6,12,0,0,2,7,1,1,2,4,28,REGULAR SEASON STATS,W,113,103
1/28/2017,LAC,W 144-98,29,15,23,9,15,4,4,9,6,0,0,1,2,43,REGULAR SEASON STATS,W,144,98
1/29/2017,POR,W 113-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,113,111
2/1/2017,CHA,W 126-111,30,14,20,11,15,0,0,5,8,0,3,2,1,39,REGULAR SEASON STATS,W,126,111
2/2/2017,LAC,W 133-120,37,11,23,3,10,4,4,3,11,0,3,1,4,29,REGULAR SEASON STATS,W,133,120
2/4/2017,SAC,L 106-109,42,11,20,8,14,5,6,4,9,0,3,2,3,35,REGULAR SEASON STATS,L,106,109
2/8/2017,CHI,W 123-92,28,5,11,1,4,2,2,1,6,0,1,4,2,13,REGULAR SEASON STATS,W,123,92
2/10/2017,MEM,W 122-107,35,6,13,2,6,4,5,4,5,0,0,3,3,18,REGULAR SEASON STATS,W,122,107
2/11/2017,OKC,W 130-114,34,9,19,4,11,4,4,8,9,0,2,2,0,26,REGULAR SEASON STATS,W,130,114
2/13/2017,DEN,L 110-132,27,4,18,1,11,2,2,2,5,0,1,1,1,11,REGULAR SEASON STATS,L,110,132
2/15/2017,SAC,W 109-86,30,4,14,2,8,3,4,6,9,2,0,2,3,13,REGULAR SEASON STATS,W,109,86
2/19/2017,EAST,W 192-182,28,8,16,5,11,0,0,4,6,0,1,3,0,21,REGULAR SEASON STATS,W,192,182
2/23/2017,LAC,W 123-113,32,10,16,6,10,9,10,7,5,0,4,5,4,35,REGULAR SEASON STATS,W,123,113
2/25/2017,BKN,W 112-95,35,9,21,5,10,4,4,5,5,0,3,2,4,27,REGULAR SEASON STATS,W,112,95
